column;cardinality
data-airHumidity;184
data-battery-voltage;19
data-CNSSRFConfigMM3Hash32;49
data-CNSSRFDataTypeId;18
data-CNSSRFDataTypeName;18
data-CNSSRFSensorTypeMM3Hash32;5
data-configParameter;8
data-configValue;69
data-DataChannel;7
data-depth;3
data-depth1-frequency;51
data-depth1-soilWaterTension;45
data-illuminance;7539
data-node-appVersion;4
data-node-batteryVoltage;60
data-node-geoPos-latitude;51
data-node-geoPos-longitude;57
data-node-timestampUTC;119165
data-rainAmount;4
data-rainAmount-time;24
data-raw;9872
data-relativeDielectricPermittivity;3303
data-resetSource-id;4
data-resetSource-name;4
data-soilVolumetricWaterContent;4778
data-temperature;732
devEUI;10
deviceName;14
fCnt;297
rxInfo;171
rxInfo-gatewayID;7
rxInfo-location-altitude;6
rxInfo-location-latitude;6
rxInfo-location-longitude;6
rxInfo-loRaSNR;105
rxInfo-name;12
rxInfo-rssi;95
rxInfo-time;100383
rxInfo-uplinkID;90256
servertimestampUTC;122098
txInfo;12
txInfo-dr;4
txInfo-frequency;8
applicationName;1
data-airHumidity-unit;1
data-battery-voltage-unit;1
data-depth-unit;1
data-depth1-depth;1
data-depth1-depthUnit;1
data-depth1-frequency-unit;1
data-depth1-soilTemperature;1
data-depth1-soilTemperature-unit;1
data-depth1-soilWaterTension-alarmHigh;1
data-depth1-soilWaterTension-alarmLow;1
data-depth1-soilWaterTension-unit;1
data-illuminance-unit;1
data-node-batteryVoltage-unit;1
data-node-geoPos-latitude-unit;1
data-node-geoPos-longitude-unit;1
data-rainAmount-alarm;1
data-rainAmount-time-unit;1
data-rainAmount-unit;1
data-soilVolumetricWaterContent-unit;1
data-temperature-alarmH;1
data-temperature-alarmL;1
data-temperature-unit;1
adr;2
applicationID;2
data-node-batteryVoltage-alarmIsLow;2
fPort;2
data;0
data-depth2-depthUnit;1
data-depth2-frequency-unit;1
data-depth2-soilTemperature-unit;1
data-depth2-soilWaterTension-alarmHigh;1
data-depth2-soilWaterTension-alarmLow;1
data-depth2-soilWaterTension-unit;1
data-depth3-depthUnit;1
data-depth3-frequency-unit;1
data-depth3-soilTemperature-unit;1
data-depth3-soilWaterTension-alarmHigh;1
data-depth3-soilWaterTension-alarmLow;1
data-depth3-soilWaterTension-unit;1
data-depth2-depth;1
data-depth2-frequency;44
data-depth2-soilTemperature;1
data-depth2-soilWaterTension;39
data-depth3-depth;1
data-depth3-frequency;3
data-depth3-soilTemperature;1
data-depth3-soilWaterTension;2
data;2234912
file_id;1387
geo_point;6
line_number;12265
json_montoldre_row.file_id;1387
json_file.id;7474
json_file.file_name;1645
