Query Number,Operator,Planned Rows AIndex,Actual Rows AIndex
Q1,Total,299,343
Q2,Total,931913,745344
Q3,Total,2236347,2235655
Q4,Total,6523111,1490645
Q5,Total,4451123,2235859
Q6,Total,219920,381
Q7,Total,6580,29576
Q8,Total,34477,270355
Q9,Total,6873993,1505247
Q10,Total,411311,409560
Q11,Total,6840190,1485555
Q12,Total,4044,603
Q13,Total,6724433,4487985
Q14,Total,969225,2235932
Q15,Total,34462,592043
Q16,Total,298,342
Q17,Total,98592163,91304506
Q18,Total,1718,258243
Q19,Total,1334484,661368
Q20,Total,931877,745280
