Query Number,Operator,Planned Rows BIndex,Actual Rows BIndex
Q1,Total,4662,62
Q2,Total,6684703,2235690
Q3,Total,4098504,3726091
Q4,Total,6520997,1490645
Q5,Total,4460562,2235859
Q6,Total,6208,381
Q7,Total,188,29576
Q8,Total,34469,270355
Q9,Total,6882646,1505144
Q10,Total,2235076,794554
Q11,Total,6848519,1485549
Q12,Total,4044,603
Q13,Total,6722261,4487985
Q14,Total,1061996,2235932
Q15,Total,34298,592059
Q16,Total,15837,228
Q17,Total,98560213,91304506
Q18,Total,4,903832
Q19,Total,745,647153
Q20,Total,931575,745280
