Query_Number,Cost_AIndex
Total Initial Cost Q1,0.0
Total Final Cost Q1,367113.55
Total Initial Cost Q2,0.43
Total Final Cost Q2,2613.2
Total Initial Cost Q3,375.77
Total Final Cost Q3,5742.15
Total Initial Cost Q4,545202.68
Total Final Cost Q4,970806.29
Total Initial Cost Q5,539615.57
Total Final Cost Q5,965219.17
Total Initial Cost Q6,1506799.19
Total Final Cost Q6,1937989.91
Total Initial Cost Q7,952170.38
Total Final Cost Q7,1529591.71
Total Initial Cost Q8,0.43
Total Final Cost Q8,3170.8
Total Initial Cost Q9,1415764.36
Total Final Cost Q9,1771239.06
Total Initial Cost Q10,539615.57
Total Final Cost Q10,965219.17
Total Initial Cost Q11,241.17
Total Final Cost Q11,730303.47
Total Initial Cost Q12,1075405.31
Total Final Cost Q12,1423895.39
Total Initial Cost Q13,1075405.32
Total Final Cost Q13,1423895.4
Total Initial Cost Q14,3.25
Total Final Cost Q14,759424.73
Total Initial Cost Q15,3.25
Total Final Cost Q15,759424.73
Total Initial Cost Q16,460930.44
Total Final Cost Q16,864534.8
Total Initial Cost Q17,1068351.59
Total Final Cost Q17,1419169.63
Total Initial Cost Q18,1271.58
Total Final Cost Q18,2540.22
Total Initial Cost Q19,0.43
Total Final Cost Q19,2613.2
Total Initial Cost Q20,1761115.67
Total Final Cost Q20,1689852157.53
