Query_Number,Cost_BIndex
Total Initial Cost Q1,0.0
Total Final Cost Q1,367121.32
Total Initial Cost Q2,0.0
Total Final Cost Q2,385750.21
Total Initial Cost Q3,374.90
Total Final Cost Q3,772110.32
Total Initial Cost Q4,545260.02
Total Final Cost Q4,970887.67
Total Initial Cost Q5,539671.36
Total Final Cost Q5,965299.01
Total Initial Cost Q6,1507035.23
Total Final Cost Q6,1938251.56
Total Initial Cost Q7,952249.84
Total Final Cost Q7,1529737.44
Total Initial Cost Q8,1000.0
Total Final Cost Q8,736383.63
Total Initial Cost Q9,1415780.2
Total Final Cost Q9,1771259.28
Total Initial Cost Q10,539671.36
Total Final Cost Q10,965299.01
Total Initial Cost Q11,241.17
Total Final Cost Q11,730317.83
Total Initial Cost Q12,1075420.85
Total Final Cost Q12,1423913.52
Total Initial Cost Q13,1075420.85
Total Final Cost Q13,1423913.52
Total Initial Cost Q14,1075420.85
Total Final Cost Q14,1423913.52
Total Initial Cost Q15,1075420.85
Total Final Cost Q15,1423913.52
Total Initial Cost Q16,460964.29
Total Final Cost Q16,864586.57
Total Initial Cost Q17,1068365.18
Total Final Cost Q17,1419186.46
Total Initial Cost Q18,1075490.72
Total Final Cost Q18,1433297.83
Total Initial Cost Q19,0.0
Total Final Cost Q19,385750.21
Total Initial Cost Q20,1761321.86
Total Final Cost Q20,1690795555.65
