Query Number,Operator,Planned Rows AIndex,Actual Rows AIndex
Q1,Total,2234844,2235825
Q2,Total,863,229
Q3,Total,16674,15406
Q4,Total,4469688,2236558
Q5,Total,4469688,2236558
Q6,Total,6704532,2237291
Q7,Total,3724740,3726375
Q8,Total,1047,456
Q9,Total,34454,268626
Q10,Total,4469688,2236558
Q11,Total,2654042,4475814
Q12,Total,931189,745280
Q13,Total,931189,745280
Q14,Total,388269,3
Q15,Total,388269,3
Q16,Total,1489896,123918
Q17,Total,926533,132678
Q18,Total,419,153
Q19,Total,863,229
Q20,Total,24982092846,9958248
