Query Number,Operator,Planned Rows BIndex,Actual Rows BIndex
Q1,Total,2235466,2235825
Q2,Total,745155,229
Q3,Total,1505258,15406
Q4,Total,4470932,2236558
Q5,Total,4470932,2236558
Q6,Total,6706398,2237291
Q7,Total,3725776,3726375
Q8,Total,15834,608
Q9,Total,34462,268566
Q10,Total,4470932,2236558
Q11,Total,2654779,4475814
Q12,Total,931448,745280
Q13,Total,931448,745280
Q14,Total,931448,745280
Q15,Total,931448,745280
Q16,Total,1490310,123918
Q17,Total,926791,132678
Q18,Total,4661,56
Q19,Total,745155,229
Q20,Total,24995997998,9958248
