Query Number,Operator,Planned Rows,Actual Rows
Q1,Seq Scan on json_montoldre_row,2234844,2235825
Q1,Total,2234844,2235825
Q2,Index Scan using index_data_temperature_value on json_montoldre_row,863,229
Q2,Total,863,229
Q3,Hash Join,863,229
Q3,->  Index Scan using index_data_temperature_value on json_montoldre_row r,863,229
Q3,->  Hash,7474,7474
Q3,->  Seq Scan on json_file f,7474,7474
Q3,Total,16674,15406
Q4,HashAggregate,2234844,733
Q4,->  Seq Scan on json_montoldre_row,2234844,2235825
Q4,Total,4469688,2236558
Q5,HashAggregate,2234844,733
Q5,->  Seq Scan on json_montoldre_row,2234844,2235825
Q5,Total,4469688,2236558
Q6,Sort,2234844,733
Q6,->  HashAggregate,2234844,733
Q6,->  Seq Scan on json_montoldre_row,2234844,2235825
Q6,Total,6704532,2237291
Q7,Gather Merge,1862370,2235825
Q7,->  Sort,931185,745275
Q7,->  Parallel Seq Scan on json_montoldre_row,931185,745275
Q7,Total,3724740,3726375
Q8,Index Scan using index_data_temperature_value on json_montoldre_row,1047,456
Q8,Total,1047,456
Q9,Group,11174,732
Q9,->  Gather Merge,9312,1911
Q9,->  Group,4656,637
Q9,->  Sort,4656,132673
Q9,->  Parallel Seq Scan on json_montoldre_row,4656,132673
Q9,Total,34454,268626
Q10,HashAggregate,2234844,733
Q10,->  Seq Scan on json_montoldre_row,2234844,2235825
Q10,Total,4469688,2236558
Q11,Hash Join,415034,2235825
Q11,->  Seq Scan on json_montoldre_row r,2234844,2235825
Q11,->  Hash,1388,1388
Q11,->  Bitmap Heap Scan on json_file f,1388,1388
Q11,->  Bitmap Index Scan on idx_json_file_app_name,1388,1388
Q11,Total,2654042,4475814
Q12,Finalize Aggregate,1,1
Q12,->  Gather,2,3
Q12,->  Partial Aggregate,1,1
Q12,->  Parallel Seq Scan on json_montoldre_row,931185,745275
Q12,Total,931189,745280
Q13,Finalize Aggregate,1,1
Q13,->  Gather,2,3
Q13,->  Partial Aggregate,1,1
Q13,->  Parallel Seq Scan on json_montoldre_row,931185,745275
Q13,Total,931189,745280
Q14,Result,1,1
Q14,->  Limit,1,1
Q14,->  Index Scan Backward using index_data_temperature_value on json_montoldre_row,388267,1
Q14,Total,388269,3
Q15,Result,1,1
Q15,->  Limit,1,1
Q15,->  Index Scan using index_data_temperature_value on json_montoldre_row,388267,1
Q15,Total,388269,3
Q16,HashAggregate,744948,24935
Q16,->  Seq Scan on json_montoldre_row,744948,98983
Q16,Total,1489896,123918
Q17,Finalize Aggregate,1,1
Q17,->  Gather,2,3
Q17,->  Partial Aggregate,1,1
Q17,->  Parallel Seq Scan on json_montoldre_row,926529,132673
Q17,Total,926533,132678
Q18,Aggregate,1,1
Q18,->  Index Scan using index_data_temperature_value on json_montoldre_row,418,152
Q18,Total,419,153
Q19,Index Scan using index_data_temperature_value on json_montoldre_row,863,229
Q19,Total,863,229
Q20,Limit,500000,500000
Q20,->  Hash Join,24972638522,500000
Q20,->  Hash Join,2234844,2235825
Q20,->  Seq Scan on json_montoldre_row r,2234844,2235825
Q20,->  Hash,7474,7474
Q20,->  Seq Scan on json_file f,7474,7474
Q20,->  Hash,2234844,2235825
Q20,->  Seq Scan on json_montoldre_row s,2234844,2235825
Q20,Total,24982092846,9958248
Overall Total Planned Rows,25015929733
Overall Total Actual Rows,31375488
