Query_Number,Cost_BIndex
Total Initial Cost Q1,1000.0
Total Final Cost Q1,781871.02
Total Initial Cost Q2,1000.0
Total Final Cost Q2,781871.02
Total Initial Cost Q3,1000.0
Total Final Cost Q3,781871.52
Total Initial Cost Q4,392435.63
Total Final Cost Q4,1173306.67
Total Initial Cost Q5,392435.63
Total Final Cost Q5,1173306.67
Total Initial Cost Q6,1000.0
Total Final Cost Q6,781871.02
Total Initial Cost Q7,1000.0
Total Final Cost Q7,781871.02
Total Initial Cost Q8,1000.0
Total Final Cost Q8,781871.02
Total Initial Cost Q9,1000.0
Total Final Cost Q9,781871.02
Total Initial Cost Q10,1000.0
Total Final Cost Q10,777222.26
Total Initial Cost Q11,1000.0
Total Final Cost Q11,725961.14
Total Initial Cost Q12,1452492.76
Total Final Cost Q12,1816179.0300000003
Total Initial Cost Q13,1452492.76
Total Final Cost Q13,1816179.0300000003
Total Initial Cost Q14,1451910.72
Total Final Cost Q14,1814402.63
Total Initial Cost Q15,1175157.8599999999
Total Final Cost Q15,1566623.1600000001
Total Initial Cost Q16,1000.0
Total Final Cost Q16,774782.4
Total Initial Cost Q17,1000.0
Total Final Cost Q17,774921.84
