Query Number,Operator,Planned Rows,Actual Rows
Q1,Update on json_montoldre_row,0,0
Q1,->  Seq Scan on json_montoldre_row,22394,0
Q1,Total,22394,0
Q2,Update on json_montoldre_row,0,0
Q2,->  Seq Scan on json_montoldre_row,22394,801
Q2,Total,22394,801
Q3,Update on json_montoldre_row,0,0
Q3,->  Seq Scan on json_montoldre_row,22394,871
Q3,Total,22394,871
Q4,Update on json_montoldre_row,0,0
Q4,->  Seq Scan on json_montoldre_row,22394,0
Q4,Total,22394,0
Q5,Update on json_montoldre_row,0,0
Q5,->  Seq Scan on json_montoldre_row,22394,6742
Q5,Total,22394,6742
Q6,Update on json_montoldre_row,0,0
Q6,->  Seq Scan on json_montoldre_row,22394,0
Q6,Total,22394,0
Q7,Update on json_montoldre_row,0,0
Q7,->  Seq Scan on json_montoldre_row,22394,925
Q7,Total,22394,925
Q8,Update on json_montoldre_row,0,0
Q8,->  Seq Scan on json_montoldre_row,22394,216
Q8,Total,22394,216
Q9,Update on json_montoldre_row,0,0
Q9,->  Seq Scan on json_montoldre_row,22394,849
Q9,Total,22394,849
Q10,Update on json_montoldre_row,0,0
Q10,->  Seq Scan on json_montoldre_row,22394,725
Q10,Total,22394,725
Q11,Update on json_montoldre_row,0,0
Q11,->  Seq Scan on json_montoldre_row,22394,625
Q11,Total,22394,625
Q12,Update on json_montoldre_row,0,0
Q12,->  Seq Scan on json_montoldre_row,22394,138
Q12,Total,22394,138
Overall Total Planned Rows,268728
Overall Total Actual Rows,11892
