Query Number,Operator,Planned Rows,Actual Rows
Q1,Update on json_montoldre_row,0,0
Q1,->  Seq Scan on json_montoldre_row,34739,139
Q1,Total,34739,139
Q2,Update on json_montoldre_row,0,0
Q2,->  Seq Scan on json_montoldre_row,34729,139
Q2,Total,34729,139
Q3,Update on json_montoldre_row,0,0
Q3,->  Seq Scan on json_montoldre_row,34729,139
Q3,Total,34729,139
Q4,Update on json_montoldre_row,0,0
Q4,->  Seq Scan on json_montoldre_row,34729,139
Q4,Total,34729,139
Q5,Update on json_montoldre_row,0,0
Q5,->  Seq Scan on json_montoldre_row,34729,139
Q5,Total,34729,139
Overall Total Planned Rows,173655
Overall Total Actual Rows,695
